price;city;neighborhood;bedrooms;garage
189000.0;araucária;iguaçu;2;1
310000.0;araucária;centro;2;1
194000.0;curitiba;santa cândida;2;1
3850000.0;curitiba;ecoville;4;4
2712000.0;curitiba;ecoville;3;4
2980000.0;curitiba;ecoville;3;4
1640000.0;curitiba;champagnat;3;3
3933000.0;curitiba;ecoville;4;4
175000.0;são josé dos pinhais;boneca do iguacu;2;1
3900000.0;curitiba;batel;4;4
225000.0;curitiba;alto boqueirão;2;2
1050000.0;curitiba;batel;2;1
299000.0;araucária;centro;2;1
1526112.0;curitiba;cabral;3;2
1037442.0;curitiba;batel;1;1
1150000.0;curitiba;batel;4;2
520000.0;curitiba;alto da rua xv;2;1
950000.0;curitiba;batel;4;2
1590000.0;curitiba;juvevê;3;3
1200000.0;curitiba;juvevê;3;2
401000.0;curitiba;centro;2;1
9048629.0;curitiba;cabral;4;4
230000.0;curitiba;uberaba;2;2
162000.0;curitiba;cidade industrial de curitiba;2;1
135000.0;curitiba;campo comprido;2;1
220000.0;são josé dos pinhais;jardim monte líbano;2;1
2500000.0;curitiba;batel;4;4
1280000.0;curitiba;cabral;4;3
1150000.0;curitiba;ahú;3;2
150000.0;curitiba;sítio cercado;2;
1450000.0;curitiba;ecoville;3;2
150000.0;araucária;centro;3;0
310000.0;araucária;centro;2;1
580000.0;curitiba;juvevê;2;1
300000.0;araucária;vila nova;2;2
830000.0;curitiba;batel;3;2
630000.0;curitiba;portão;3;1
1500000.0;curitiba;bigorrilho;4;3
580000.0;curitiba;mercês;3;1
320000.0;curitiba;guaíra;3;1
160000.0;araucária;centro;3;0
250000.0;araucária;centro;2;0
275000.0;curitiba;centro;1;1
656910.0;curitiba;cabral;2;2
450000.0;curitiba;capão raso;3;1
112000.0;araucária;boqueirão;2;1
2800000.0;curitiba;batel;3;4
1790000.0;curitiba;bigorrilho;3;3
150000.0;araucária;iguaçu;2;1
1300000.0;curitiba;centro;5;2
270000.0;curitiba;atuba;2;2
3680000.0;curitiba;ecoville;4;4
1500000.0;curitiba;centro;4;2
349000.0;curitiba;alto da glória;3;1
198000.0;curitiba;tingui;2;1
175000.0;curitiba;bairro alto;3;1
210000.0;araucária;cachoeira;2;1
155000.0;araucária;centro;3;1
140000.0;araucária;capela velha;2;0
4805300.0;curitiba;batel;4;5
380000.0;curitiba;juvevê;2;1
299000.0;curitiba;centro;3;
470000.0;curitiba;batel;2;1
160000.0;curitiba;centro;1;0
155000.0;são josé dos pinhais;cidade jardim;2;1
125000.0;araucária;tindiquera;2;0
1358746.0;curitiba;seminário;3;0
2700000.0;curitiba;cabral;3;3
994000.0;curitiba;juvevê;2;2
1009222.0;curitiba;ecoville;3;2
550000.0;curitiba;centro;3;2
2690000.0;curitiba;água verde;4;3
215000.0;curitiba;xaxim;2;1
848000.0;curitiba;campo comprido;3;2
185190.0;curitiba;santa cândida;3;1
160900.0;colombo;roça grande;3;1
430000.0;curitiba;cristo rei;3;1
4955600.0;curitiba;batel;3;5
206600.0;curitiba;santa cândida;3;1
1790000.0;curitiba;batel;4;4
1209267.0;curitiba;batel;0;2
1625711.0;curitiba;batel;0;2
500000.0;curitiba;champagnat;3;0
514000.0;curitiba;centro;2;1
336000.0;curitiba;capão raso;3;1
2700000.0;curitiba;batel;4;3
1680000.0;curitiba;juvevê;3;3
917751.0;curitiba;centro cívico;3;2
957328.0;curitiba;centro cívico;3;2
910397.0;curitiba;centro cívico;3;2
580000.0;curitiba;alto da rua xv;3;2
760000.0;curitiba;centro;2;2
839760.0;curitiba;ecoville;3;2
2498000.0;curitiba;champagnat;4;3
3980000.0;curitiba;cabral;4;4
3700000.0;curitiba;ahú;4;4
485000.0;curitiba;alto da rua xv;3;2
0.0;curitiba;batel;4;3
0.0;curitiba;batel;4;3
140000.0;curitiba;cidade industrial de curitiba;2;1
389000.0;curitiba;xaxim;3;1
529100.0;curitiba;alto da glória;2;1
667600.0;curitiba;mercês;2;2
2550000.0;curitiba;bigorrilho;3;3
162000.0;curitiba;fazendinha;2;1
163000.0;araucária;sabiá;2;1
6774910.0;curitiba;cabral;4;4
6030488.0;curitiba;cabral;4;4
190000.0;são josé dos pinhais;santos dumont;2;1
1580000.0;curitiba;água verde;4;2
1600000.0;curitiba;batel;3;3
150000.0;curitiba;cidade industrial de curitiba;2;1
3498000.0;curitiba;ecoville;4;5
358500.0;curitiba;portão;3;1
349100.0;curitiba;novo mundo;3;2
350000.0;curitiba;água verde;2;1
629100.0;curitiba;batel;3;1
964189.0;curitiba;água verde;2;2
1000527.0;curitiba;água verde;2;2
432500.0;curitiba;cristo rei;2;2
187500.0;curitiba;fazendinha;2;1
588200.0;curitiba;bigorrilho;2;2
600000.0;curitiba;cabral;4;2
160000.0;curitiba;bairro alto;3;1
330000.0;curitiba;atuba;3;2
210000.0;curitiba;santa cândida;2;1
394900.0;curitiba;capão raso;2;1
390000.0;curitiba;são francisco;3;3
335000.0;araucária;centro;3;1
145000.0;curitiba;sítio cercado;2;1
1444300.0;curitiba;mercês;3;2
1221359.0;curitiba;bigorrilho;2;2
1711283.0;curitiba;bigorrilho;3;3
8348920.0;curitiba;ecoville;4;5
700000.0;curitiba;bigorrilho;3;2
3154266.16;curitiba;cabral;4;4
8066410.89;curitiba;barigui;4;5
774300.0;curitiba;mercês;2;2
1290500.0;curitiba;mercês;3;2
1210700.0;curitiba;mercês;3;2
1118700.0;curitiba;mercês;2;2
858500.0;curitiba;mercês;2;2
907600.0;curitiba;mercês;2;1
650000.0;curitiba;água verde;3;2
1455000.0;curitiba;cabral;3;2
5119900.0;curitiba;batel;3;4
410000.0;curitiba;água verde;3;1
265000.0;curitiba;vila izabel;3;1
620000.0;curitiba;seminário;3;2
1359500.0;curitiba;água verde;3;2
669000.0;curitiba;batel;3;1
215000.0;curitiba;centro;1;
107000.0;araucária;iguaçu;2;1
1121000.0;curitiba;batel;3;2
220000.0;curitiba;pilarzinho;2;1
995000.0;curitiba;cabral;3;2
180000.0;são josé dos pinhais;parque da fonte;3;1
180000.0;são josé dos pinhais;parque da fonte;3;1
180000.0;são josé dos pinhais;parque da fonte;3;1
878288.0;curitiba;bacacheri;3;2
897279.0;curitiba;bacacheri;3;2
320000.0;são josé dos pinhais;cidade jardim;3;3
200000.0;curitiba;cristo rei;1;
200000.0;são josé dos pinhais;boneca do iguacu;2;1
260000.0;colombo;atuba;3;2
988050.0;curitiba;ecoville;3;2
1122142.5;curitiba;mossunguê;3;2
595000.0;curitiba;vila izabel;3;2
1980000.0;curitiba;alto da rua xv;3;3
309000.0;curitiba;capão raso;3;1
715000.0;curitiba;vila izabel;3;2
533015.0;curitiba;vila izabel;2;1
250000.0;curitiba;santa quitéria;3;1
715883.0;curitiba;vila izabel;2;2
603887.0;curitiba;vila izabel;2;2
1600000.0;curitiba;ecoville;3;4
890000.0;curitiba;vila izabel;3;2
530000.0;curitiba;bigorrilho;3;1
230000.0;curitiba;jardim botânico;2;1
9000000.0;curitiba;ecoville;4;5
950000.0;curitiba;batel;4;3
350000.0;curitiba;centro;2;1
976000.0;curitiba;champagnat;;2
1508800.0;curitiba;champagnat;;2
295000.0;curitiba;juvevê;2;1
350000.0;curitiba;cristo rei;3;1
220000.0;curitiba;cajuru;3;1
1099000.0;curitiba;água verde;2;2
4100000.0;curitiba;batel;4;4
4551413.0;curitiba;batel;3;4
440000.0;curitiba;portão;3;1
389000.0;curitiba;xaxim;3;1
410000.0;curitiba;centro;1;1
175000.0;araucária;capela velha;2;1
170000.0;araucária;capela velha;2;1
1497357.0;curitiba;água verde;3;2
235000.0;curitiba;campo comprido;2;2
175000.0;curitiba;tingui;2;1
610200.0;curitiba;alto da glória;2;1
488700.0;curitiba;alto da glória;2;1
754400.0;curitiba;mercês;2;2
393000.0;curitiba;capão raso;2;1
2850000.0;curitiba;batel;4;4
2759154.0;curitiba;água verde;3;2
128000.0;araucária;costeira;2;1
160000.0;curitiba;cajuru;2;1
729568.43;curitiba;alto da rua xv;2;
318000.0;curitiba;água verde;2;1
6000000.0;curitiba;ecoville;4;5
300000.0;curitiba;jardim botânico;3;1
439000.0;curitiba;vila izabel;3;1
3562145.0;curitiba;ecoville;4;4
2216600.0;curitiba;água verde;3;2
969600.0;curitiba;água verde;3;2
953500.0;curitiba;centro;3;2
823950.0;curitiba;centro;3;2
908650.0;curitiba;centro;3;2
1200000.0;curitiba;ahú;4;2
261980.0;curitiba;portão;3;1
3149300.0;curitiba;cabral;3;3
1590000.0;curitiba;batel;4;3
105000.0;colombo;das graças;2;1
885000.0;curitiba;ecoville;3;2
126900.0;curitiba;cidade industrial de curitiba;2;1
459800.0;curitiba;capão raso;3;1
958900.0;curitiba;ecoville;3;2
145000.0;araucária;iguaçu;2;0
844400.0;curitiba;centro;2;2
700400.0;curitiba;centro;3;2
169640.0;araucária;costeira;2;2
280000.0;são josé dos pinhais;costeira;2;1
1990000.0;curitiba;água verde;4;3
140000.0;curitiba;sítio cercado;2;
265000.0;curitiba;tingui;2;1
149900.0;curitiba;campo comprido;;
145000.0;araucária;iguaçu;2;1
180000.0;araucária;iguaçu;2;0
890000.0;curitiba;cristo rei;2;2
180000.0;curitiba;capão raso;2;1
130700.0;araucária;thomaz coelho;2;1
139900.0;colombo;paloma;2;1
3950000.0;curitiba;hugo lange;3;5
951090.0;curitiba;campina do siqueira;3;2
823950.0;curitiba;batel;3;
195000.0;curitiba;alto boqueirão;2;1
1113095.13;curitiba;batel;2;2
592905.57;curitiba;xaxim;2;2
437000.0;curitiba;cristo rei;2;1
777200.0;curitiba;batel;3;1
4400000.0;curitiba;batel;;4
1399000.0;curitiba;juvevê;3;3
494113.0;curitiba;boa vista;2;1
668000.0;curitiba;alto da glória;3;2
0.0;curitiba;ecoville;4;8
475000.0;curitiba;novo mundo;3;1
3990000.0;curitiba;batel;3;3
310000.0;curitiba;xaxim;2;
1090000.0;curitiba;batel;3;2
200000.0;curitiba;alto da glória;1;0
1545000.0;curitiba;cabral;3;2
500000.0;araucária;centro;3;1
530000.0;araucária;centro;3;1
4351700.0;curitiba;cabral;;4
2805700.0;curitiba;cabral;;3
636700.0;curitiba;centro;2;1
914400.0;curitiba;centro;3;1
150000.0;são josé dos pinhais;santo antonio;2;1
140000.0;araucária;estação;2;1
2620000.0;curitiba;juvevê;4;3
345000.0;curitiba;bacacheri;2;1
1206000.0;curitiba;batel;3;2
130000.0;araucária;tindiquera;2;0
620000.0;curitiba;são francisco;3;1
1310000.0;curitiba;são francisco;3;1
618000.0;curitiba;alto da glória;3;1
165000.0;araucária;centro;2;1
192000.0;curitiba;pinheirinho;2;1
1700000.0;curitiba;água verde;2;2
225000.0;curitiba;santa cândida;2;1
670000.0;são josé dos pinhais;sao cristovao;4;2
1048300.0;curitiba;alto da glória;3;2
935000.0;curitiba;água verde;4;2
153000.0;araucária;iguaçu;2;1
861100.0;curitiba;alto da glória;2;2
164900.0;araucária;tindiquera;2;1
240000.0;curitiba;seminário;2;1
480000.0;curitiba;rebouças;3;1
145000.0;são josé dos pinhais;italia;2;1
168900.0;araucária;capela velha;2;1
174900.0;araucária;tindiquera;2;1
280000.0;são josé dos pinhais;são francisco;;1
280000.0;são josé dos pinhais;são francisco;3;1
189000.0;são josé dos pinhais;cruzeiro;2;1
774910.0;curitiba;campo comprido;3;2
1035700.0;curitiba;alto da glória;2;2
1720000.0;curitiba;água verde;4;4
179900.0;araucária;centro;3;1
2550000.0;curitiba;centro;3;3
399000.0;curitiba;novo mundo;3;1
429000.0;curitiba;novo mundo;3;1
239000.0;curitiba;fazendinha;2;1
230900.0;araucária;fazenda velha;2;1
236900.0;araucária;fazenda velha;3;1
168000.0;curitiba;sítio cercado;2;1
1399000.0;curitiba;alto da glória;3;3
190000.0;araucária;iguaçu;2;1
725200.0;curitiba;bacacheri;3;2
189690.0;araucária;tindiquera;2;1
189490.0;araucária;tindiquera;2;1
294900.0;curitiba;bacacheri;2;1
295900.0;curitiba;bacacheri;2;1
324900.0;curitiba;bacacheri;2;2
320900.0;curitiba;bacacheri;2;1
296961.0;curitiba;bacacheri;2;1
300900.0;curitiba;bacacheri;2;1
299900.0;curitiba;bacacheri;2;1
298900.0;curitiba;bacacheri;2;1
293900.0;curitiba;bacacheri;2;1
296900.0;curitiba;bacacheri;2;1
297900.0;curitiba;bacacheri;2;1
299947.0;curitiba;bacacheri;2;1
336900.0;curitiba;bacacheri;2;1
302900.0;curitiba;bacacheri;2;1
341900.0;curitiba;bacacheri;;
316979.0;curitiba;bacacheri;2;1
329900.0;curitiba;bacacheri;2;1
235490.0;curitiba;novo mundo;2;1
232490.0;curitiba;novo mundo;2;1
228490.0;curitiba;novo mundo;2;1
219490.0;curitiba;novo mundo;2;1
146900.0;curitiba;campo santana;2;1
1810525.0;curitiba;ecoville;3;3
651000.0;curitiba;mercês;3;1
145000.0;araucária;iguaçu;2;0
4600000.0;curitiba;batel;4;4
180000.0;araucária;estação;2;1
368000.0;curitiba;rebouças;2;1
270000.0;curitiba;centro cívico;1;1
1837900.0;curitiba;água verde;3;3
5484276.0;curitiba;cabral;3;4
249000.0;curitiba;centro;2;1
602144.0;curitiba;bigorrilho;2;2
1750000.0;curitiba;cabral;3;3
4185288.0;curitiba;cabral;4;4
4517289.0;curitiba;cabral;4;3
5468896.81;curitiba;batel;4;4
274000.0;curitiba;novo mundo;2;1
430000.0;curitiba;cristo rei;3;1
4880150.41;curitiba;barigui;4;4
6930936.58;curitiba;barigui;4;5
1056512.0;curitiba;são francisco;2;2
441983.15;curitiba;são francisco;1;1
1300000.0;curitiba;batel;4;3
165000.0;araucária;capela velha;2;1
150600.0;são josé dos pinhais;costeira;2;1
250000.0;são josé dos pinhais;afonso pena;3;1
150000.0;fazenda rio grande;jardim veneza;2;1
450000.0;curitiba;batel;2;1
6950000.0;curitiba;batel;4;4
1150000.0;curitiba;batel;4;2
380000.0;são josé dos pinhais;centro;3;1
140000.0;curitiba;uberaba;2;1
140000.0;araucária;tindiquera;2;1
340000.0;são josé dos pinhais;centro;3;1
360000.0;são josé dos pinhais;afonso pena;3;1
210000.0;curitiba;santa cândida;2;1
250000.0;curitiba;tingui;2;1
160000.0;colombo;guaraituba;3;1
787200.0;curitiba;alto da glória;2;1
1190000.0;curitiba;água verde;4;2
911200.0;curitiba;alto da glória;3;2
269000.0;são josé dos pinhais;pedro moro;2;1
180000.0;curitiba;são francisco;1;
169000.0;curitiba;fazendinha;3;1
258000.0;curitiba;novo mundo;2;
1750000.0;curitiba;bigorrilho;4;3
4750000.0;curitiba;batel;3;5
2700000.0;curitiba;ecoville;4;4
990000.0;curitiba;bigorrilho;3;3
3500000.0;curitiba;campina do siqueira;4;4
130000.0;curitiba;santa cândida;2;1
696400.0;curitiba;centro;2;1
1012300.0;curitiba;centro;3;1
565700.0;curitiba;cristo rei;2;2
153000.0;araucária;iguaçu;2;1
173900.0;araucária;centro;2;0
530000.0;araucária;centro;3;1
299000.0;araucária;porto das laranjeiras;2;1
290000.0;araucária;centro;2;1
295000.0;araucária;boqueirão;2;1
600000.0;curitiba;cabral;3;2
325000.0;araucária;iguaçu;3;1
1251000.0;curitiba;água verde;3;2
1620000.0;curitiba;água verde;3;2
1420000.0;curitiba;água verde;4;3
1737000.0;curitiba;água verde;4;3
534000.0;são josé dos pinhais;centro;3;2
270000.0;são josé dos pinhais;silveira da motta;2;1
539000.0;curitiba;vila izabel;3;1
765922.0;curitiba;cabral;3;2
922694.4;curitiba;bigorrilho;3;2
4535711.57;curitiba;batel;4;4
150000.0;são josé dos pinhais;roseira;1;1
285000.0;curitiba;portão;3;1
480000.0;curitiba;centro cívico;4;1
285000.0;são josé dos pinhais;boneca do iguacu;3;1
817539.0;curitiba;bigorrilho;2;2
1137218.0;curitiba;bigorrilho;3;2
2746645.35;curitiba;juvevê;4;3
1678194.0;curitiba;bigorrilho;3;2
3264738.0;curitiba;cabral;4;3
1221300.0;curitiba;batel;2;2
265000.0;curitiba;vila izabel;2;2
275766.01;curitiba;centro;3;
1280383.95;curitiba;ecoville;3;2
1867050.17;curitiba;ahú;3;3
529000.0;curitiba;vila izabel;2;1
1021713.0;curitiba;alto da rua xv;3;2
1400000.0;curitiba;cristo rei;4;3
154900.0;araucária;passaúna;2;1
170000.0;araucária;centro;2;1
1985000.0;curitiba;batel;3;2
139000.0;são josé dos pinhais;afonso pena;2;1
169900.0;são josé dos pinhais;afonso pena;2;1
2700000.0;curitiba;cabral;4;4
1688448.59;curitiba;ahú;3;3
1150915.68;curitiba;ecoville;2;2
855000.0;curitiba;ahú;3;2
965266.0;curitiba;juvevê;2;2
140000.0;curitiba;barreirinha;2;1
1398000.0;curitiba;juvevê;3;2
796099.87;curitiba;água verde;2;2
4181185.5;curitiba;ecoville;4;3
4092159.83;curitiba;batel;3;
699000.0;curitiba;cabral;3;2
890000.0;curitiba;alto da rua xv;3;2
150000.0;curitiba;sítio cercado;2;1
185000.0;são josé dos pinhais;afonso pena;2;1
671624.42;curitiba;campina do siqueira;2;1
3300000.0;curitiba;bigorrilho;3;3
2850000.0;curitiba;cabral;4;4
185000.0;são josé dos pinhais;afonso pena;1;
239000.0;curitiba;atuba;2;1
820781.14;curitiba;champagnat;3;2
199000.0;são josé dos pinhais;afonso pena;3;1
258000.0;curitiba;uberaba;3;1
2290000.0;curitiba;ecoville;3;3
275000.0;são josé dos pinhais;boneca do iguacu;2;1
247000.0;são josé dos pinhais;pedro moro;2;1
699000.0;são josé dos pinhais;pedro moro;4;2
420000.0;curitiba;centro;3;1
135000.0;curitiba;santa cândida;3;1
540000.0;curitiba;água verde;3;1
135000.0;curitiba;sítio cercado;2;1
168000.0;são josé dos pinhais;centro;2;1
215000.0;são josé dos pinhais;boneca do iguacu;3;1
125000.0;são josé dos pinhais;colonia rio grande;2;1
220000.0;são josé dos pinhais;afonso pena;3;1
1800000.0;curitiba;batel;4;4
760263.0;curitiba;bigorrilho;2;1
625000.0;curitiba;água verde;3;2
879000.0;curitiba;batel;3;2
875567.0;curitiba;juvevê;2;1
1100000.0;curitiba;batel;3;4
369000.0;curitiba;fanny;2;1
394000.0;curitiba;fanny;2;1
380000.0;curitiba;fanny;2;1
369000.0;curitiba;fanny;2;1
239000.0;são josé dos pinhais;roseira de são sebastião;2;1
3590000.0;curitiba;ecoville;3;5
175000.0;são josé dos pinhais;cidade jardim;2;1
670000.0;curitiba;batel;3;2
2759279.0;curitiba;juvevê;3;3
267520.0;curitiba;centro;1;0
922694.0;curitiba;bigorrilho;3;2
5466300.0;curitiba;cabral;3;3
180000.0;são josé dos pinhais;afonso pena;3;1
292850.0;curitiba;cidade industrial de curitiba;3;1
239900.0;curitiba;novo mundo;;
219900.0;curitiba;novo mundo;;
419900.0;curitiba;capão raso;3;1
219900.0;curitiba;fanny;2;1
219900.0;curitiba;fanny;2;1
158000.0;são josé dos pinhais;italia;2;1
850000.0;curitiba;champagnat;3;4
1939845.51;curitiba;ahú;3;3
250000.0;são josé dos pinhais;afonso pena;2;2
1333453.51;curitiba;mercês;3;2
890685.43;curitiba;mercês;2;2
735460.49;curitiba;ecoville;3;2
239900.0;são josé dos pinhais;afonso pena;3;
220000.0;são josé dos pinhais;sao marcos;2;
280000.0;são josé dos pinhais;cidade jardim;3;1
630000.0;curitiba;centro;3;1
215000.0;são josé dos pinhais;afonso pena;3;1
210000.0;curitiba;novo mundo;2;2
578100.0;são josé dos pinhais;sao pedro;3;
165000.0;são josé dos pinhais;afonso pena;2;
200000.0;curitiba;cajuru;3;
3600000.0;curitiba;ecoville;3;4
1450000.0;curitiba;batel;3;3
440000.0;curitiba;centro;3;1
184900.0;são josé dos pinhais;afonso pena;3;1
240000.0;são josé dos pinhais;jardim monte líbano;3;1
240000.0;curitiba;pinheirinho;2;
175000.0;curitiba;rebouças;1;
130000.0;colombo;são gabriel;2;1
120000.0;curitiba;centro;1;
795000.0;curitiba;batel;3;1
595000.0;são josé dos pinhais;silveira da motta;3;2
1500000.0;curitiba;batel;4;3
189000.0;são josé dos pinhais;sao marcos;2;1
160000.0;são josé dos pinhais;afonso pena;2;1
259000.0;curitiba;tingui;2;1
750000.0;curitiba;batel;3;1
160000.0;curitiba;sítio cercado;2;1
420000.0;são josé dos pinhais;afonso pena;3;2
639900.0;curitiba;água verde;3;1
7414800.0;curitiba;bigorrilho;4;5
3150000.0;curitiba;ecoville;3;4
139000.0;curitiba;sítio cercado;2;1
3140000.0;curitiba;cabral;3;3
368380.24;curitiba;cajuru;3;2
1844625.74;curitiba;ahú;3;3
3249789.0;curitiba;cabral;3;3
797096.02;curitiba;água verde;2;2
1111635.42;curitiba;água verde;3;2
851921.56;curitiba;água verde;2;2
2999900.0;curitiba;cabral;3;3
840006.78;curitiba;água verde;2;3
982318.85;curitiba;água verde;2;2
1238541.79;curitiba;bigorrilho;3;3
303271.33;curitiba;cajuru;2;1
7709370.1;curitiba;ecoville;4;5
5250000.0;curitiba;batel;4;4
1314999.36;curitiba;alto da rua xv;3;2
4536944.96;curitiba;batel;4;4
3609000.0;curitiba;cabral;3;3
2700000.0;curitiba;cabral;3;3
1019063.77;curitiba;alto da rua xv;3;2
649216.74;curitiba;água verde;2;2
1065682.0;curitiba;ecoville;3;2
780000.0;são josé dos pinhais;centro;3;1
180000.0;curitiba;campo comprido;3;1
687400.0;curitiba;água verde;2;2
1426100.0;curitiba;hugo lange;3;3
1378100.0;curitiba;hugo lange;3;3
690000.0;curitiba;vila izabel;3;2
1055700.0;curitiba;centro;3;2
1599000.0;curitiba;batel;3;3
696400.0;curitiba;centro;2;1
1370740.0;curitiba;ahú;3;3
190000.0;araucária;iguaçu;;
3323300.0;curitiba;cabral;3;3
3067900.0;curitiba;cabral;3;3
0.0;curitiba;ecoville;4;5
190000.0;araucária;boqueirão;2;
1190000.0;curitiba;ecoville;3;2
230000.0;curitiba;tingui;3;1
179000.0;curitiba;cristo rei;1;
550000.0;curitiba;cabral;3;1
